五	141		4	939	0.1415%	316868	47.76%	275	66.91%
文	142		4	938	0.1414%	317806	47.90%	234	56.93%
至	143		6	932	0.1405%	318738	48.04%	323	78.59%
頭	144		16	932	0.1405%	319670	48.18%	230	55.96%
度	145		9	927	0.1397%	320597	48.32%	298	72.51%
重	146		9	923	0.1391%	321520	48.46%	320	77.86%
水	147		4	921	0.1388%	322441	48.60%	239	58.15%
場	148		12	915	0.1379%	323356	48.74%	242	58.88%
己	149		3	908	0.1369%	324264	48.87%	224	54.50%
機	150		16	907	0.1367%	325171	49.01%	276	67.15%
內	151		4	906	0.1366%	326077	49.15%	307	74.70%
手	152		4	902	0.136%	326979	49.28%	262	63.75%
市	153		5	900	0.1357%	327879	49.42%	212	51.58%
員	154		10	897	0.1352%	328776	49.55%	217	52.80%
更	155		7	897	0.1352%	329673	49.69%	313	76.16%
將	156		11	895	0.1349%	330568	49.82%	282	68.61%
四	157		5	893	0.1346%	331461	49.96%	286	69.59%
正	158		5	883	0.1331%	332344	50.09%	308	74.94%
進	159		11	882	0.1329%	333226	50.23%	287	69.83%
全	160		6	879	0.1325%	334105	50.36%	290	70.56%
相	161		9	871	0.1313%	334976	50.49%	312	75.91%
百	162		6	869	0.131%	335845	50.62%	249	60.58%
身	163		7	864	0.1302%	336709	50.75%	280	68.13%
代	164		5	851	0.1283%	337560	50.88%	271	65.94%
關	165		19	846	0.1275%	338406	51.01%	290	70.56%
把	166		7	844	0.1272%	339250	51.13%	244	59.37%
次	167		6	823	0.124%	340073	51.26%	277	67.40%
合	168		6	819	0.1234%	340892	51.38%	259	63.02%
選	169		15	819	0.1234%	341711	51.50%	198	48.18%
受	170		8	817	0.1231%	342528	51.63%	305	74.21%
回	171		6	812	0.1224%	343340	51.75%	258	62.77%
等	172		12	811	0.1222%	344151	51.87%	281	68.37%
少	173		4	808	0.1218%	344959	51.99%	309	75.18%
感	174		13	808	0.1218%	345767	52.12%	249	60.58%
部	175		10	804	0.1212%	346571	52.24%	270	65.69%
再	176		6	787	0.1186%	347358	52.36%	270	65.69%
並	177		8	779	0.1174%	348137	52.47%	301	73.24%
裏	178		13	779	0.1174%	348916	52.59%	175	42.58%
議	179		20	776	0.117%	349692	52.71%	183	44.53%
真	180		10	774	0.1167%	350466	52.82%	242	58.88%
向	181		6	773	0.1165%	351239	52.94%	278	67.64%
使	182		8	770	0.1161%	352009	53.06%	275	66.91%
做	183		11	768	0.1158%	352777	53.17%	230	55.96%
府	184		8	768	0.1158%	353545	53.29%	159	38.69%
業	185		13	768	0.1158%	354313	53.40%	206	50.12%
果	186		8	755	0.1138%	355068	53.52%	281	68.37%
月	187		4	754	0.1136%	355822	53.63%	244	59.37%
入	188		2	753	0.1135%	356575	53.74%	293	71.29%
才	189		3	750	0.113%	357325	53.86%	277	67.40%
位	190		7	747	0.1126%	358072	53.97%	271	65.94%
立	191		5	747	0.1126%	358819	54.08%	259	63.02%
物	192		8	740	0.1115%	359559	54.19%	230	55.96%
題	193		18	740	0.1115%	360299	54.31%	249	60.58%
氣	194		10	738	0.1112%	361037	54.42%	236	57.42%
甚	195		9	732	0.1103%	361769	54.53%	247	60.10%
制	196		8	731	0.1102%	362500	54.64%	209	50.85%
老	197		6	731	0.1102%	363231	54.75%	207	50.36%
話	198		13	730	0.110%	363961	54.86%	227	55.23%
風	199		9	724	0.1091%	364685	54.97%	235	57.18%
共	200		6	716	0.1079%	365401	55.07%	190	46.23%
利	201		7	716	0.1079%	366117	55.18%	222	54.01%
反	202		4	714	0.1076%	366831	55.29%	267	64.96%
被	203		10	713	0.1075%	367544	55.40%	262	63.75%
平	204		5	712	0.1073%	368256	55.51%	248	60.34%
名	205		6	711	0.1072%	368967	55.61%	263	63.99%
目	206		5	710	0.107%	369677	55.72%	265	64.48%
則	207		9	702	0.1058%	370379	55.83%	271	65.94%
變	208		23	699	0.1054%	371078	55.93%	249	60.58%
每	209		7	697	0.1051%	371775	56.04%	242	58.88%
樂	210		15	696	0.1049%	372471	56.14%	179	43.55%
體	211		23	696	0.1049%	373167	56.25%	236	57.42%
別	212		7	690	0.104%	373857	56.35%	269	65.45%
數	213		15	690	0.104%	374547	56.45%	257	62.53%
走	214		7	689	0.1038%	375236	56.56%	193	46.96%
七	215		2	685	0.1032%	375921	56.66%	242	58.88%
何	216		7	682	0.1028%	376603	56.76%	266	64.72%
像	217		14	680	0.1025%	377283	56.87%	191	46.47%
期	218		12	679	0.1023%	377962	56.97%	270	65.69%
認	219		14	679	0.1023%	378641	57.07%	264	64.23%
太	220		4	678	0.1022%	379319	57.17%	223	54.26%
任	221		6	676	0.1019%	379995	57.27%	235	57.18%
八	222		2	676	0.1019%	380671	57.38%	231	56.20%
提	223		12	674	0.1016%	381345	57.48%	265	64.48%
卻	224		9	673	0.1014%	382018	57.58%	254	61.80%
常	225		11	673	0.1014%	382691	57.68%	259	63.02%
化	226		4	670	0.101%	383361	57.78%	234	56.93%
處	227		11	670	0.101%	384031	57.88%	263	63.99%
英	228		9	668	0.1007%	384699	57.98%	168	40.88%
信	229		9	667	0.1005%	385366	58.08%	245	59.61%
通	230		10	667	0.1005%	386033	58.18%	267	64.96%
接	231		11	666	0.1004%	386699	58.28%	269	65.45%
愛	232		13	665	0.1002%	387364	58.39%	165	40.15%
難	233		19	665	0.1002%	388029	58.49%	254	61.80%
計	234		9	662	0.09978%	388691	58.59%	220	53.53%
幾	235		12	660	0.09948%	389351	58.68%	243	59.12%
總	236		17	660	0.09948%	390011	58.78%	236	57.42%
書	237		10	659	0.09933%	390670	58.88%	173	42.09%
千	238		3	656	0.09888%	391326	58.98%	197	47.93%
社	239		7	649	0.09782%	391975	59.08%	185	45.01%
今	240		4	648	0.09767%	392623	59.18%	266	64.72%
直	241		8	648	0.09767%	393271	59.28%	244	59.37%
聲	242		17	641	0.09661%	393912	59.37%	198	48.18%
教	243		11	633	0.09541%	394545	59.47%	170	41.36%
資	244		13	632	0.09526%	395177	59.56%	191	46.47%
亦	245		6	628	0.09465%	395805	59.66%	225	54.74%
覺	246		20	627	0.0945%	396432	59.75%	205	49.88%
活	247		9	623	0.0939%	397055	59.85%	225	54.74%
光	248		6	622	0.09375%	397677	59.94%	176	42.82%
界	249		9	621	0.0936%	398298	60.03%	245	59.61%
論	250		15	619	0.0933%	398917	60.13%	245	59.61%
比	251		4	618	0.09315%	399535	60.22%	250	60.83%
局	252		7	617	0.093%	400152	60.31%	181	44.04%
士	253		3	614	0.09254%	400766	60.41%	205	49.88%
世	254		5	613	0.09239%	401379	60.50%	218	53.04%
兒	255		8	612	0.09224%	401991	60.59%	166	40.39%
保	256		9	611	0.09209%	402602	60.68%	223	54.26%
六	257		4	610	0.09194%	403212	60.77%	223	54.26%
門	258		8	609	0.09179%	403821	60.87%	206	50.12%
色	259		6	608	0.09164%	404429	60.96%	205	49.88%
男	260		7	607	0.09149%	405036	61.05%	126	30.66%
產	261		11	596	0.08983%	405632	61.14%	192	46.72%
品	262		9	594	0.08953%	406226	61.23%	159	38.69%
車	263		7	594	0.08953%	406820	61.32%	133	32.36%
望	264		11	592	0.08923%	407412	61.41%	243	59.12%
持	265		9	586	0.08832%	407998	61.50%	237	57.66%
口	266		3	584	0.08802%	408582	61.58%	214	52.07%
安	267		6	582	0.08772%	409164	61.67%	232	56.45%
必	268		5	581	0.08757%	409745	61.76%	242	58.88%
海	269		10	581	0.08757%	410326	61.85%	177	43.07%
電	270		13	581	0.08757%	410907	61.93%	183	44.53%
未	271		5	578	0.08712%	411485	62.02%	266	64.72%
建	272		9	577	0.08697%	412062	62.11%	184	44.77%
金	273		8	577	0.08697%	412639	62.19%	177	43.07%
影	274		15	576	0.08682%	413215	62.28%	226	54.99%
